Contractor,Department,Category,AvgScore,Responses
ASB Flatwork,Construction,Attention to Detail,7.8,4
ASB Flatwork,Construction,Avoids VPO Requests,9.2,4
ASB Flatwork,Construction,Communication,8.2,4
ASB Flatwork,Construction,Follow Through,7.8,4
ASB Flatwork,Construction,Plan/CSA Compliance,7.5,4
ASB Flatwork,Construction,Problem Resolution,7.2,4
ASB Flatwork,Construction,Schedule Reliability,8.5,4
ASB Flatwork,Construction,Trade Coordination,8.2,4
ASB Flatwork,Construction,Work Quality,7.8,4
ASB Flatwork,Construction,Would Choose Again,8.0,4
ASB Flatwork,Purchasing,Avoids Work Order Adjustments,9.0,1
ASB Flatwork,Purchasing,Bid Accuracy,9.0,1
ASB Flatwork,Purchasing,Invoice Accuracy,8.0,1
ASB Flatwork,Purchasing,Overall Value,9.0,1
ASB Flatwork,Purchasing,Pricing Competitiveness,8.0,1
ASB Flatwork,Purchasing,Proactive Communication,8.0,1
ASB Flatwork,Purchasing,Responsiveness,8.0,1
ASB Flatwork,Purchasing,Trust & Accountability,10.0,1
Air Express,Purchasing,Avoids Work Order Adjustments,10.0,1
Air Express,Purchasing,Bid Accuracy,9.0,1
Air Express,Purchasing,Overall Value,8.0,1
Air Express,Purchasing,Pricing Competitiveness,10.0,1
Air Express,Purchasing,Proactive Communication,8.0,1
Air Express,Purchasing,Responsiveness,9.0,1
Air Express,Purchasing,Trust & Accountability,8.0,1
Air Express,Warranty,Accountability,9.5,2
Air Express,Warranty,First-Time Fix,9.5,2
Air Express,Warranty,Homeowner Professionalism,9.5,2
Air Express,Warranty,Response Time,9.5,2
Air Express,Warranty,Scheduling Reliability,9.5,2
Air Express,Warranty,Would Choose Again,9.5,2
Alpine Fireplace,Construction,Attention to Detail,9.5,4
Alpine Fireplace,Construction,Avoids VPO Requests,8.8,4
Alpine Fireplace,Construction,Communication,8.8,4
Alpine Fireplace,Construction,Follow Through,9.2,4
Alpine Fireplace,Construction,Plan/CSA Compliance,9.8,4
Alpine Fireplace,Construction,Problem Resolution,9.5,4
Alpine Fireplace,Construction,Schedule Reliability,9.0,4
Alpine Fireplace,Construction,Trade Coordination,9.5,4
Alpine Fireplace,Construction,Work Quality,9.5,4
Alpine Fireplace,Construction,Would Choose Again,9.5,4
Alpine Fireplace,Purchasing,Avoids Work Order Adjustments,9.0,1
Alpine Fireplace,Purchasing,Bid Accuracy,8.0,3
Alpine Fireplace,Purchasing,Overall Value,8.3,3
Alpine Fireplace,Purchasing,Pricing Competitiveness,7.0,1
Alpine Fireplace,Purchasing,Proactive Communication,7.0,3
Alpine Fireplace,Purchasing,Responsiveness,7.7,3
Alpine Fireplace,Purchasing,Trust & Accountability,7.3,3
Alpine Fireplace,Warranty,Accountability,9.0,2
Alpine Fireplace,Warranty,First-Time Fix,9.0,2
Alpine Fireplace,Warranty,Homeowner Professionalism,9.0,2
Alpine Fireplace,Warranty,Response Time,9.0,2
Alpine Fireplace,Warranty,Scheduling Reliability,9.0,2
Alpine Fireplace,Warranty,Would Choose Again,9.0,2
American Curb Cut,Construction,Attention to Detail,8.5,4
American Curb Cut,Construction,Avoids VPO Requests,9.0,4
American Curb Cut,Construction,Communication,8.2,4
American Curb Cut,Construction,Follow Through,9.8,4
American Curb Cut,Construction,Plan/CSA Compliance,9.5,4
American Curb Cut,Construction,Problem Resolution,9.0,4
American Curb Cut,Construction,Schedule Reliability,9.8,4
American Curb Cut,Construction,Trade Coordination,8.0,4
American Curb Cut,Construction,Work Quality,9.5,4
American Curb Cut,Construction,Would Choose Again,9.8,4
Atlas Engineering,Construction,Attention to Detail,9.7,3
Atlas Engineering,Construction,Avoids VPO Requests,10.0,3
Atlas Engineering,Construction,Communication,9.7,3
Atlas Engineering,Construction,Follow Through,9.7,3
Atlas Engineering,Construction,Plan/CSA Compliance,9.7,3
Atlas Engineering,Construction,Problem Resolution,9.7,3
Atlas Engineering,Construction,Schedule Reliability,9.7,3
Atlas Engineering,Construction,Trade Coordination,9.7,3
Atlas Engineering,Construction,Work Quality,9.7,3
Atlas Engineering,Construction,Would Choose Again,10.0,3
Ault,Construction,Attention to Detail,8.0,4
Ault,Construction,Avoids VPO Requests,4.5,4
Ault,Construction,Communication,7.5,4
Ault,Construction,Follow Through,7.0,4
Ault,Construction,Plan/CSA Compliance,8.2,4
Ault,Construction,Problem Resolution,6.8,4
Ault,Construction,Schedule Reliability,7.5,4
Ault,Construction,Trade Coordination,8.2,4
Ault,Construction,Work Quality,7.8,4
Ault,Construction,Would Choose Again,7.2,4
Ault,Purchasing,Avoids Work Order Adjustments,4.0,1
Ault,Purchasing,Bid Accuracy,8.0,2
Ault,Purchasing,Invoice Accuracy,7.0,1
Ault,Purchasing,Overall Value,8.5,2
Ault,Purchasing,Pricing Competitiveness,10.0,1
Ault,Purchasing,Proactive Communication,8.5,2
Ault,Purchasing,Responsiveness,7.5,2
Ault,Purchasing,Trust & Accountability,8.0,2
Ault,Warranty,Accountability,8.5,2
Ault,Warranty,First-Time Fix,9.0,2
Ault,Warranty,Homeowner Professionalism,9.0,2
Ault,Warranty,Response Time,6.5,2
Ault,Warranty,Scheduling Reliability,6.0,2
Ault,Warranty,Would Choose Again,9.0,2
BGW,Construction,Attention to Detail,10.0,4
BGW,Construction,Avoids VPO Requests,9.5,4
BGW,Construction,Communication,10.0,4
BGW,Construction,Follow Through,10.0,4
BGW,Construction,Plan/CSA Compliance,10.0,4
BGW,Construction,Problem Resolution,10.0,4
BGW,Construction,Schedule Reliability,10.0,4
BGW,Construction,Trade Coordination,10.0,4
BGW,Construction,Work Quality,9.5,4
BGW,Construction,Would Choose Again,10.0,4
BGW,Purchasing,Avoids Work Order Adjustments,9.0,1
BGW,Purchasing,Bid Accuracy,9.3,3
BGW,Purchasing,Invoice Accuracy,9.0,1
BGW,Purchasing,Overall Value,9.7,3
BGW,Purchasing,Pricing Competitiveness,10.0,1
BGW,Purchasing,Proactive Communication,9.0,3
BGW,Purchasing,Responsiveness,10.0,3
BGW,Purchasing,Trust & Accountability,10.0,3
BGW,Warranty,Accountability,10.0,2
BGW,Warranty,First-Time Fix,10.0,2
BGW,Warranty,Homeowner Professionalism,10.0,2
BGW,Warranty,Response Time,10.0,2
BGW,Warranty,Scheduling Reliability,10.0,2
BGW,Warranty,Would Choose Again,10.0,2
Bardsley and Sons,Construction,Attention to Detail,6.5,4
Bardsley and Sons,Construction,Avoids VPO Requests,8.8,4
Bardsley and Sons,Construction,Communication,7.0,4
Bardsley and Sons,Construction,Follow Through,6.8,4
Bardsley and Sons,Construction,Plan/CSA Compliance,7.5,4
Bardsley and Sons,Construction,Problem Resolution,5.8,4
Bardsley and Sons,Construction,Schedule Reliability,7.2,4
Bardsley and Sons,Construction,Trade Coordination,6.0,4
Bardsley and Sons,Construction,Work Quality,6.8,4
Bardsley and Sons,Construction,Would Choose Again,5.8,4
Bardsley and Sons,Purchasing,Avoids Work Order Adjustments,9.0,1
Bardsley and Sons,Purchasing,Bid Accuracy,9.0,3
Bardsley and Sons,Purchasing,Overall Value,6.5,2
Bardsley and Sons,Purchasing,Pricing Competitiveness,7.3,3
Bardsley and Sons,Purchasing,Proactive Communication,8.0,3
Bardsley and Sons,Purchasing,Responsiveness,5.7,3
Bardsley and Sons,Purchasing,Trust & Accountability,9.0,2
Bardsley and Sons,Warranty,Accountability,7.5,2
Bardsley and Sons,Warranty,First-Time Fix,9.0,2
Bardsley and Sons,Warranty,Homeowner Professionalism,8.5,2
Bardsley and Sons,Warranty,Response Time,6.0,2
Bardsley and Sons,Warranty,Scheduling Reliability,7.0,2
Bardsley and Sons,Warranty,Would Choose Again,7.0,2
Cade Builder Services,Construction,Attention to Detail,9.0,1
Cade Builder Services,Construction,Avoids VPO Requests,10.0,1
Cade Builder Services,Construction,Communication,9.0,1
Cade Builder Services,Construction,Follow Through,9.0,1
Cade Builder Services,Construction,Plan/CSA Compliance,9.0,1
Cade Builder Services,Construction,Problem Resolution,7.0,1
Cade Builder Services,Construction,Schedule Reliability,9.0,1
Cade Builder Services,Construction,Trade Coordination,9.0,1
Cade Builder Services,Construction,Work Quality,9.0,1
Cade Builder Services,Construction,Would Choose Again,9.0,1
Cade Builder Services,Purchasing,Avoids Work Order Adjustments,9.0,1
Cade Builder Services,Purchasing,Bid Accuracy,9.5,2
Cade Builder Services,Purchasing,Invoice Accuracy,8.0,1
Cade Builder Services,Purchasing,Overall Value,8.0,2
Cade Builder Services,Purchasing,Pricing Competitiveness,10.0,1
Cade Builder Services,Purchasing,Proactive Communication,9.0,2
Cade Builder Services,Purchasing,Responsiveness,7.5,2
Cade Builder Services,Purchasing,Trust & Accountability,7.0,2
Contract Appliance,Construction,Attention to Detail,9.0,2
Contract Appliance,Construction,Avoids VPO Requests,10.0,2
Contract Appliance,Construction,Communication,9.5,2
Contract Appliance,Construction,Follow Through,9.5,2
Contract Appliance,Construction,Plan/CSA Compliance,9.5,2
Contract Appliance,Construction,Problem Resolution,9.0,2
Contract Appliance,Construction,Schedule Reliability,9.5,2
Contract Appliance,Construction,Trade Coordination,8.0,2
Contract Appliance,Construction,Work Quality,8.0,2
Contract Appliance,Construction,Would Choose Again,8.5,2
Contract Appliance,Purchasing,Avoids Work Order Adjustments,7.5,2
Contract Appliance,Purchasing,Bid Accuracy,8.3,3
Contract Appliance,Purchasing,Invoice Accuracy,7.0,1
Contract Appliance,Purchasing,Overall Value,7.7,3
Contract Appliance,Purchasing,Pricing Competitiveness,8.5,2
Contract Appliance,Purchasing,Proactive Communication,8.0,3
Contract Appliance,Purchasing,Responsiveness,8.3,3
Contract Appliance,Purchasing,Trust & Accountability,8.0,2
Contract Appliance,Warranty,Accountability,10.0,1
Contract Appliance,Warranty,First-Time Fix,10.0,1
Contract Appliance,Warranty,Homeowner Professionalism,10.0,1
Contract Appliance,Warranty,Response Time,10.0,1
Contract Appliance,Warranty,Scheduling Reliability,10.0,1
Contract Appliance,Warranty,Would Choose Again,10.0,1
Creative Granite,Construction,Attention to Detail,5.0,4
Creative Granite,Construction,Avoids VPO Requests,8.5,4
Creative Granite,Construction,Communication,6.2,4
Creative Granite,Construction,Follow Through,6.5,4
Creative Granite,Construction,Plan/CSA Compliance,5.8,4
Creative Granite,Construction,Problem Resolution,6.2,4
Creative Granite,Construction,Schedule Reliability,7.2,4
Creative Granite,Construction,Trade Coordination,6.8,4
Creative Granite,Construction,Work Quality,6.2,4
