Contractor,Construction,Purchasing,Warranty,TPI,Construction Responses,Purchasing Responses,Warranty Responses,Total Responses,Rank
ASB Flatwork,8.0,8.6,,8.2,4.0,1.0,,5.0,35.0
Air Express,,8.9,9.5,9.2,,1.0,2.0,3.0,6.0
Alpine Fireplace,9.3,7.7,9.0,8.8,4.0,3.0,2.0,9.0,19.0
American Curb Cut,9.1,,,9.1,4.0,,,4.0,10.0
Atlas Engineering,9.7,,,9.7,3.0,,,3.0,3.0
Ault,7.3,7.8,8.0,7.6,4.0,2.0,2.0,8.0,40.0
BGW,9.9,9.6,10.0,9.8,4.0,3.0,2.0,9.0,1.0
Bardsley and Sons,6.8,7.6,7.5,7.2,4.0,3.0,2.0,9.0,43.0
Cade Builder Services,8.9,8.4,,8.7,1.0,2.0,,3.0,22.0
Contract Appliance,9.0,8.0,10.0,9.0,2.0,3.0,1.0,6.0,11.0
Creative Granite,6.4,6.9,7.4,6.8,4.0,3.0,2.0,9.0,45.0
Custom Flow,7.6,8.2,8.2,7.9,4.0,1.0,2.0,7.0,37.0
DLM,9.7,,10.0,9.8,4.0,,1.0,5.0,1.0
Delta Pro,8.5,,10.0,9.0,4.0,,1.0,5.0,11.0
Designer Marble,8.1,7.9,9.0,8.3,4.0,3.0,1.0,8.0,31.0
Everlast,9.0,8.9,9.2,9.0,4.0,3.0,2.0,9.0,11.0
Fashion Cabinets,9.2,8.9,8.5,8.9,4.0,3.0,2.0,9.0,16.0
Five Star,6.9,5.8,6.7,6.5,1.0,2.0,2.0,5.0,47.0
Gillette,7.4,8.2,8.2,7.8,4.0,3.0,2.0,9.0,38.0
IGOTPOOP,8.5,,,8.5,4.0,,,4.0,26.0
J2,5.5,8.8,7.7,6.8,4.0,3.0,2.0,9.0,45.0
JD Concrete,9.5,7.9,,8.9,4.0,3.0,,7.0,16.0
Lassiter,8.8,8.1,8.1,8.4,4.0,1.0,2.0,7.0,29.0
Lleyva,7.7,7.0,6.7,7.3,4.0,3.0,2.0,9.0,42.0
MLD,8.4,8.8,8.8,8.6,4.0,3.0,2.0,9.0,25.0
MR Paint,9.0,9.4,9.2,9.2,4.0,2.0,2.0,8.0,6.0
Monument Drywall,7.3,8.7,8.8,8.0,4.0,3.0,2.0,9.0,36.0
Nova Lighting,9.4,9.7,9.1,9.4,4.0,3.0,2.0,9.0,4.0
Platinum Woodwork,8.5,9.6,,8.9,2.0,2.0,,4.0,16.0
Precision Flatwork,7.4,9.0,7.0,7.7,4.0,1.0,1.0,6.0,39.0
Premier Insulation,8.6,9.8,9.1,9.0,4.0,3.0,2.0,9.0,11.0
Provue,8.9,9.5,7.7,8.7,4.0,3.0,2.0,9.0,22.0
R1 Roofing,7.8,9.8,,8.5,1.0,1.0,,2.0,26.0
RMC,8.3,,,8.3,3.0,,,3.0,31.0
Republic,8.3,,,8.3,2.0,,,2.0,31.0
Stonehenge,8.4,8.1,8.7,8.4,4.0,3.0,2.0,9.0,29.0
Summit Waterproofing,8.6,8.8,8.8,8.7,4.0,1.0,2.0,7.0,22.0
Sunpro Exterior Doors,9.0,9.6,8.2,9.0,2.0,1.0,2.0,5.0,11.0
Sunpro Framing Material,8.8,9.7,9.7,9.2,4.0,3.0,1.0,8.0,6.0
Sunpro/Kyle Framing,9.2,,,9.2,4.0,,,4.0,6.0
Surge Electric,9.0,8.2,,8.8,1.0,1.0,,2.0,19.0
Thomas Brothers Drywall,6.9,7.6,,7.1,1.0,1.0,,2.0,44.0
UDC,8.4,9.6,9.0,8.8,4.0,3.0,2.0,9.0,19.0
VZION,8.3,8.4,8.2,8.3,1.0,3.0,2.0,6.0,31.0
Vanguard Energy,9.4,,,9.4,4.0,,,4.0,4.0
Vidor,6.4,9.1,8.6,7.6,2.0,3.0,2.0,7.0,40.0
WB Roofing,9.0,8.1,8.1,8.5,4.0,3.0,2.0,9.0,26.0
